Date,USD3M,CORP,INVE,MUNI,INFL,GOVE,BANK,HIGH,LONG,EUR3M,MORT,PREF,INTE,SHOR,ULTR,USD1W,EUR1W,d_USD3M,d_EUR3M,d_USD1W,d_EUR1W,CE_dummy
2016-09-07T00:00:00Z,0.83356,469.71799,732.19373,56.7018,1.3467,238.6906,76.6511,408.3905,62.751,-0.32114,43.5678,25.0409,268.0654,184.6548,108.6553,0.44383,-0.38714,-0.007110000000000061,0.002860000000000029,8.299999999999974e-4,0,0
2016-09-08T00:00:00Z,0.84544,-45.1742,271.53079,6.2191,23.1496,50.7116,40.8694,-155.77161,45.6357,-0.32257,12.0165,37.1554,61.0064,28.4246,10.4553,0.44522,-0.38714,0.011880000000000002,-0.0014300000000000423,0.0013900000000000023,0,0
2016-09-09T00:00:00Z,0.85222,-1888.31177,-1095.32166,4.9188,14.0986,-389.8551,-4.7089,-1111.35046,-129.7318,-0.31871,8.0184,70.4427,-244.33521,-60.3783,-4.7089,0.44506,-0.38714,0.006780000000000008,0.00386000000000003,-1.5999999999999348e-4,0,0
2016-09-12T00:00:00Z,0.85578,-116.8027,9.5449,48.1823,-2.1029,-3.943,1.863,-183.9854,16.5929,-0.32014,33.509,-7.6176,-5.7291,71.9653,-44.8936,0.44533,-0.38714,0.0035600000000000076,-0.0014299999999999868,2.6999999999999247e-4,0,0
2016-09-13T00:00:00Z,0.85028,-1359.09521,-298.01489,10.8291,48.5784,23.8811,63.0174,-835.17218,108.9868,-0.32014,10.9678,3.4835,-70.5115,-15.1019,63.0174,0.44589,-0.38714,-0.005499999999999949,0,5.600000000000049e-4,0,0
2016-09-14T00:00:00Z,0.85389,209.2095,499.58099,28.566,5.2789,-151.88921,27.6872,-347.40839,-32.5005,-0.31943,1.3441,13.7642,-174.59979,120.4153,68.2394,0.44922,-0.38714,0.003610000000000002,7.099999999999884e-4,0.0033299999999999996,0,0
2016-09-15T00:00:00Z,0.85656,207.29539,1244.60364,35.0149,-11.2179,736.35358,25.4948,-33.7823,50.7583,-0.32014,18.5719,46.8265,84.0011,978.31927,18.1535,0.45367,-0.38714,0.00266999999999995,-7.099999999999884e-4,0.0044500000000000095,0,0
2016-09-16T00:00:00Z,0.85711,288.96841,162.9097,7.9156,3.7005,-123.6957,21.549,63.4557,-102.6735,-0.32086,13.5237,-9.6371,3.5208,80.9296,118.093,0.45228,-0.38714,5.500000000000504e-4,-7.199999999999984e-4,-0.0013900000000000023,0,0
2016-09-20T00:00:00Z,0.86589,457.0448,861.8587,26.3201,34.5704,406.3627,29.5923,197.1987,291.1705,-0.32157,13.2901,20.252,178.74789,118.3871,96.7065,0.45756,-0.38714,0.00878000000000001,-7.100000000000439e-4,0.005280000000000007,0,0
2016-09-21T00:00:00Z,0.86333,288.22601,473.5304,8.8398,-63.3847,349.32401,10.9064,221.1279,33.7962,-0.32243,33.3933,65.2145,207.96581,47.1843,156.59531,0.45783,-0.38714,-0.0025600000000000067,-8.599999999999719e-4,2.6999999999999247e-4,0,0
2016-09-22T00:00:00Z,0.85672,1098.41357,453.3873,24.2439,14.441,-148.7585,55.6466,702.13098,-214.646,-0.32243,3.9598,22.4979,72.4964,191.9101,141.562,0.45589,-0.38714,-0.006610000000000005,0,-0.0019399999999999973,0,0
2016-09-26T00:00:00Z,0.85294,112.8123,121.227,14.027,100.5722,-161.65221,32.2552,53.9572,-75.491,-0.32186,7.9237,26.5702,-71.9948,76.1076,35.0997,0.45228,-0.38714,-0.0037800000000000056,5.700000000000149e-4,-0.003610000000000002,0,0
2016-09-27T00:00:00Z,0.85378,176.98489,0.2824,-0.9312,5.1094,-109.1415,36.3098,120.6034,-218.8291,-0.32186,17.6701,76.7401,101.2725,10.4892,69.176,0.45256,-0.38786,8.399999999999519e-4,0,2.8000000000000247e-4,-7.199999999999984e-4,0
2016-09-28T00:00:00Z,0.83769,464.41501,491.5853,32.566,47.8099,78.112,10.3053,318.76331,55.3402,-0.32538,55.8214,15.9289,150.4668,83.9726,20.3175,0.44788,-0.38875,-0.016089999999999938,-0.003520000000000023,-0.0046800000000000175,-8.900000000000019e-4,0
2016-09-29T00:00:00Z,0.84561,734.62231,374.33621,19.3736,110.5581,-23.0559,143.6049,743.37842,113.0652,-0.322,78.6776,1.1917,-119.3746,132.56419,198.5209,0.44867,-0.38786,0.007919999999999927,0.003379999999999994,7.900000000000129e-4,8.900000000000019e-4,0
2016-09-30T00:00:00Z,0.85367,222.70351,140.8353,39.4818,13.8773,-4.1557,4.7805,222.7879,-6.0757,-0.322,59.813,5.7987,11.0326,42.2769,3.184,0.45672,-0.38786,0.008060000000000067,0,0.008050000000000002,0,0
2016-10-03T00:00:00Z,0.85789,626.53528,652.00549,35.7739,14.987,131.6165,4.7744,453.5535,-123.3126,-0.322,33.4329,37.7204,346.375,183.3526,-8.0924,0.46256,-0.38786,0.0042200000000000015,0,0.005840000000000012,0,0
2016-10-04T00:00:00Z,0.86433,-334.95871,188.26871,19.8432,28.6133,-10.3066,1.862,74.5274,-36.1039,-0.32057,24.5742,-0.5282,-24.7474,141.1786,1.862,0.45756,-0.38786,0.006440000000000001,0.0014299999999999868,-0.0050000000000000044,0,0
2016-10-05T00:00:00Z,0.86794,189.3902,202.65669,51.818600000000004,25.5864,-49.6027,32.7677,54.3088,21.8809,-0.32057,38.8176,6.821,-2.5337,-39.3968,25.5077,0.45589,-0.38786,0.003610000000000002,0,-0.0016700000000000048,0,0
2016-10-06T00:00:00Z,0.87156,-6.5665,507.62369,27.4067,182.6942,108.0356,28.3452,-49.9823,-59.2845,-0.32057,-22.6763,12.6587,123.0948,111.434,25.9242,0.45644,-0.38786,0.0036199999999999566,0,5.499999999999949e-4,0,0
2016-10-07T00:00:00Z,0.87606,-70.5224,137.29691,36.6294,8.6625,7.8227,79.0497,165.5509,-57.8464,-0.322,-16.995,16.7779,171.4633,188.69279,117.4468,0.45533,-0.38886,0.0044999999999999485,-0.0014299999999999868,-0.0011099999999999999,-0.0010000000000000009,0
2016-10-11T00:00:00Z,0.8775,357.24011,312.26471,34.5201,22.6038,-30.5632,10.9259,219.14661,-141.287,-0.32043,35.4943,10.7854,206.7941,89.7551,-29.0191,0.45644,-0.38886,0.0014399999999999968,0.0015700000000000158,0.0011099999999999999,0,0
2016-10-12T00:00:00Z,0.88111,854.9248,1215.27051,6.1127,85.0242,97.4857,66.9469,141.9559,35.2962,-0.32271,35.2148,-14.9049,51.0212,455.80399,78.2433,0.45867,-0.38886,0.003610000000000002,-0.0022800000000000042,0.0022300000000000098,0,0
2016-10-13T00:00:00Z,0.88,-925.86841,17.4556,-48.2153,31.8833,255.18069,106.4774,-557.04718,-47.8105,-0.32486,2.628,8.9316,19.8649,133.9828,127.6307,0.45867,-0.38886,-0.0011099999999999444,-0.0021499999999999853,0,0,0
