Dates,EE0003M Index,US0003M Index,AGGR,ULTR,SHOR,INTE,PREF,MORT,LONG,INFL,INVE,HIGH,CONV,CORP,MUNI,GOVE,BANK
02/01/2020,-0.407,1.90025,348.5832,467.3536,191.3592,26.7126,160.4153,14.45,63.6612,105.214,1041.948,434.0746,9.4575,699.5661,133.9944,133.9944,146.7369
03/01/2020,-0.40986,1.87388,348.839,-95.5126,102.5139,248.9293,143.7098,49.4017,-174.9077,49.5253,128.3847,380.1979,12.594,253.5459,253.5459,133.1293,80.0469
06/01/2020,-0.41714,1.87225,457.4274,207.0028,245.5857,84.4885,53.053,26.2287,-175.7679,73.8024,623.8603,157.1521,12.594,154.9431,154.9431,152.8034,94.0651
07/01/2020,-0.42471,1.878,307.6838,268.9426,182.8307,146.1033,79.0308,13.1131,-237.5334,21.2439,203.4791,30.7559,12.734,-304.6661,-304.6661,183.138,150.9263
08/01/2020,-0.41643,1.834,535.9215,235.7607,45.1052,329.6397,164.33,668.5909,-205.202,61.8482,1703.339,-130.5761,22.6287,313.1562,313.1562,71.7015,158.479
09/01/2020,-0.41571,1.84788,624.9325,69.8793,221.6805,458.0068,83.2266,-12.4436,50.2657,-27.0266,1440.735,268.8344,22.6287,837.5377,837.5377,103.6025,76.8456
10/01/2020,-0.42329,1.83775,437.1251,32.4266,179.5548,341.9535,70.4919,75.6919,76.4384,-6.432,1035.86,276.9258,22.6287,384.9471,384.9471,131.9312,24.073
13/01/2020,-0.42414,1.83125,467.7914,31.707,166.9018,234.1233,95.4292,141.4662,37.1218,-16.9221,1211.792,787.6586,22.6287,1007.683,1007.683,133.7215,-17.59
14/01/2020,-0.42114,1.84263,-422.9885,-94.2241,287.5712,-1633.266,70.1725,111.0555,1119.103,-96.7292,28.5687,663.5347,22.6287,777.1219,777.1219,164.4348,-22.776
15/01/2020,-0.42143,1.83613,26.9567,41.8486,-1531.242,939.3359,98.561,606.9557,-65.6888,111.0227,-45.7406,136.3717,-28.6257,-792.9288,-792.9288,92.0811,-22.776
16/01/2020,-0.41871,1.82663,620.026,307.5571,312.1639,236.2615,54.5364,328.9947,-66.5138,20.3167,1147.193,351.3712,-28.6257,432.5684,432.5684,19.1997,50.1996
17/01/2020,-0.424,1.81913,579.6421,263.4385,256.365,438.04,35.987,18.5059,278.4117,61.0553,1482.931,-45.7478,46.0347,290.9933,290.9933,25.3761,50.1996
20/01/2020,-0.42014,1.80213,579.6421,263.4385,256.365,438.04,35.987,18.5059,278.4117,61.0553,1482.931,-45.7478,46.0347,290.9933,290.9933,25.3761,50.1996
21/01/2020,-0.42,1.80625,211.0864,1.6999,139.2713,-77.9779,9.6219,-22.7011,-30.309,9.5247,191.1096,-128.9374,46.0347,-100.1202,-100.1202,99.4445,-19.261
22/01/2020,-0.41957,1.80088,-992.158,-38.441,-217.1912,-396.9431,38.521,39.361,31.425,16.2115,-860.9795,-127.6232,-2.9737,-199.1073,-199.1073,124.8619,-85.1556
23/01/2020,-0.41886,1.79413,600.6644,-96.0523,-212.4101,170.2217,28.6842,454.6962,273.9001,43.8226,924.2813,-157.4802,-2.9737,-269.7752,-269.7752,58.2133,-102.527
24/01/2020,-0.42386,1.79538,259.8716,7.9663,37.5451,570.2178,21.0127,163.737,172.7096,-10.9297,1317.319,-1753.099,-2.9737,-1859.842,-1859.842,106.2528,-29.682
27/01/2020,-0.429,1.7745,436.1639,-219.6851,-28.5308,-12.3902,4.1765,18.1895,40.539,-120.8075,384.0845,-485.6053,-11.4156,44.7311,44.7311,22.0847,-146.4376
28/01/2020,-0.42243,1.7695,263.7919,30.6856,-17.997,248.5219,6.3789,65.5406,90.4142,31.1764,530.7982,-132.1539,-34.5137,140.9037,140.9037,-60.241,-41.3919
29/01/2020,-0.42243,1.77713,776.4893,-6.8499,461.5525,449.5221,67.229,448.883,89.6178,-8.0245,1631.345,251.7593,-34.5137,92.6501,92.6501,140.1427,0.8471
